ул.Еловая;ИП Махова;4
ул.Строителей;ИП Махова;4
ИП Морозов кофе машина;ДОГОВОРА;3
ИП МСтоян Э.К;ДОГОВОРА;3
ИП Ольхов;ДОГОВОРА;3
49а изменение догвора;ИП Ольхов;4
ИП Омарашвили В.А;ДОГОВОРА;3
ИП Орехов В.С;ДОГОВОРА;3
каскад 07.05;ИП Орехов В.С;4
ИП Пашин;ДОГОВОРА;3
ИП Першин Д;ДОГОВОРА;3
ИП Плотников;ДОГОВОРА;3
ИП Поляков;ДОГОВОРА;3
суздаль-2;ИП Поляков;4
ИП Прибытков В.А;ДОГОВОРА;3
ИП Рассказов Ан.А;ДОГОВОРА;3
ИП Рассказов Д.А;ДОГОВОРА;3
ИП Рябиничев М.Л;ДОГОВОРА;3
Суздальремстрой -2;ИП Рябиничев М.Л;4
1 дом;Суздальремстрой -2;5
2 дом;Суздальремстрой -2;5
3 дом;Суздальремстрой -2;5
ИП Рябов;ДОГОВОРА;3
ИП Савосин;ДОГОВОРА;3
каскад;ИП Савосин;4
ИП Сакова;ДОГОВОРА;3
забор оск;ИП Сакова;4
забор статус;ИП Сакова;4
3 допик;забор статус;5
продление сроков;забор статус;5
ремонт офиса;ИП Сакова;4
Статус;ИП Сакова;4
1;Статус;5
ИП Салаков;ДОГОВОРА;3
ИП Сербин;ДОГОВОРА;3
ИП Симакова ( очистка территории Текстильщик);ДОГОВОРА;3
доп соглашение  от 02.12.2024;ИП Симакова ( очистка территории Текстильщик);4
кс;ИП Симакова ( очистка территории Текстильщик);4
свк;ИП Симакова ( очистка территории Текстильщик);4
Ип Скворцов Основа;ДОГОВОРА;3
ИП Скорюкова М. В;ДОГОВОРА;3
ИП Смирнова О.Г;ДОГОВОРА;3
елова в связи с замечаниями зид;ИП Смирнова О.Г;4
замена суммы + работы ковров;ИП Смирнова О.Г;4
от юриста;замена суммы + работы ковров;5
ИП Смирнова на выгрузку;ИП Смирнова О.Г;4
каскад;ИП Смирнова О.Г;4
2;каскад;5
3;каскад;5
4;каскад;5
на подпись допник на 16мл;ИП Смирнова О.Г;4
Новая папка;на подпись допник на 16мл;5
наружые сети водопровод;ИП Смирнова О.Г;4
добвление суммы на материал;наружые сети водопровод;5
строителей 26.05.2025;наружые сети водопровод;5
Новая папка;ИП Смирнова О.Г;4
Статус;ИП Смирнова О.Г;4
ИП Смолин Д.Е;ДОГОВОРА;3
ИП Соколов А.В;ДОГОВОРА;3
49а;ИП Соколов А.В;4
ИП Степанов О.В;ДОГОВОРА;3
ИП Степанов С.П;ДОГОВОРА;3
ИП Стыров;ДОГОВОРА;3
ИП Сукманова;ДОГОВОРА;3
Озерная 35;ИП Сукманова;4
1;Озерная 35;5
2;Озерная 35;5
3;Озерная 35;5
ИП Терлецкий мойка+ шиномонтаж;ДОГОВОРА;3
ИП Тихомиров ЮГ;ДОГОВОРА;3
ИП ТРифонов;ДОГОВОРА;3
Двери офис;ИП ТРифонов;4
жуковского двери;ИП ТРифонов;4
ИП Трутнев;ДОГОВОРА;3
новый зем.участок;ИП Трутнев;4
ИП Устинов;ДОГОВОРА;3
аурум;ИП Устинов;4
1;аурум;5
основной договор;аурум;5
еловая;ИП Устинов;4
каскад;ИП Устинов;4
1;каскад;5
3;каскад;5
4;каскад;5
подвал;ИП Устинов;4
свк;ИП Устинов;4
строителей;ИП Устинов;4
3;строителей;5
4;строителей;5
суздальремстрой;ИП Устинов;4
1 дом;суздальремстрой;5
2 дом;суздальремстрой;5
3 дом;суздальремстрой;5
Флориаль;ИП Устинов;4
1;Флориаль;5
ИП Фадеев А.А;ДОГОВОРА;3
ИП Халеев Н.А;ДОГОВОРА;3
Иваново офис;ИП Халеев Н.А;4
ИП Харченко А.А;ДОГОВОРА;3
ОСК;ИП Харченко А.А;4
Статус;ИП Харченко А.А;4
2;Статус;5
3;Статус;5
ИП Чебан М.В;ДОГОВОРА;3
Еловая двери установка;ИП Чебан М.В;4
2;Еловая двери установка;5
Строителей двери установка;ИП Чебан М.В;4
2;Строителей двери установка;5
ИП Чернявский Д.А;ДОГОВОРА;3
ИП Шальнова;ДОГОВОРА;3
Аурум;ИП Шальнова;4
Всполье Суздальремстрой 2;ИП Шальнова;4
1 дом;Всполье Суздальремстрой 2;5
2 дом;Всполье Суздальремстрой 2;5
3 дом;Всполье Суздальремстрой 2;5
каскад;ИП Шальнова;4
Стяжка до 130 мм;ИП Шальнова;4
увелечение стоимости в зимнее время 49а;ИП Шальнова;4
ИП Шаров;ДОГОВОРА;3
Каскад;ИП Шаров;4
1;Каскад;5
ИП Шелихов;ДОГОВОРА;3
оск;ИП Шелихов;4
офис;ИП Шелихов;4
статус;ИП Шелихов;4
3;статус;5
ИП Шлепотин;ДОГОВОРА;3
ИП Яковлев;ДОГОВОРА;3
двери установка;ИП Яковлев;4
каскад;ИП Яковлев;4
1;каскад;5
лестницы основа;ИП Яковлев;4
СВК;ИП Яковлев;4
ИП Яковлева Н;ДОГОВОРА;3
каскад;ИП Яковлева Н;4
строителей 43;каскад;5
Новая папка;ДОГОВОРА;3
ООО 33 Штукатура;ДОГОВОРА;3
Суздаль 1 дом;ООО 33 Штукатура;4
ООО АИСС;ДОГОВОРА;3
ООО Альфастрой;ДОГОВОРА;3
еловая;ООО Альфастрой;4
Строителей;ООО Альфастрой;4
Строителей каскад;ООО Альфастрой;4
ООО Альянс Монтаж Групп;ДОГОВОРА;3
ООО Альянс-групп;ДОГОВОРА;3
еловая;ООО Альянс-групп;4
каскад;ООО Альянс-групп;4
1;каскад;5
2;каскад;5
строителей;ООО Альянс-групп;4
ООО Альянс-строй;ДОГОВОРА;3
ООО АльянСтрой;ДОГОВОРА;3
ООО Амбика (кочетков);ДОГОВОРА;3
ООО Артметалл;ДОГОВОРА;3
еловая козырек;ООО Артметалл;4
подъезд + эвакуционные выходы;еловая козырек;5
приямки;еловая козырек;5
каскад;ООО Артметалл;4
лестницы;каскад;5
поручни;каскад;5
ограждение лест.маршов;ООО Артметалл;4
строителей;ООО Артметалл;4
козырьки пряимки;строителей;5
ООО Вектор;ДОГОВОРА;3
ООО ВладЛифтМонтаж;ДОГОВОРА;3
ООО Владстройплюс;ДОГОВОРА;3
Еловая АК33;ООО Владстройплюс;4
жуковского;ООО Владстройплюс;4
кирпичные столбы + наружняя отделка;жуковского;5
монтаж котельной;жуковского;5
ООО ВЛС владинфо;ДОГОВОРА;3
ООО Вольный ветер;ДОГОВОРА;3
ООО ВСК-9;ДОГОВОРА;3
ООО Гарантстрой;ДОГОВОРА;3
Суздаль;ООО Гарантстрой;4
дом 1;Суздаль;5
дом 2;Суздаль;5
дом 3;Суздаль;5
ООО Гласпромм;ДОГОВОРА;3
ООО Гранж;ДОГОВОРА;3
Ав33 Озерная;ООО Гранж;4
ООО ДСГ 8 марта;ДОГОВОРА;3
ООО ЗИД;ДОГОВОРА;3
АУРУМ;ООО ЗИД;4
ООО Инвестиции ЛиГ;ДОГОВОРА;3
основа;ООО Инвестиции ЛиГ;4
ООО Интел;ДОГОВОРА;3
Аурум;ООО Интел;4
каскад;ООО Интел;4
основа;ООО Интел;4
ООО Интермосевис;ДОГОВОРА;3
каскад;ООО Интермосевис;4
ООО Квадроком;ДОГОВОРА;3
озерная;ООО Квадроком;4
основа;ООО Квадроком;4
2;основа;5
ООО Компания Мастерфайбр;ДОГОВОРА;3
49а;ООО Компания Мастерфайбр;4
ул.Еловая;ООО Компания Мастерфайбр;4
ул.Строителей 39_3;ООО Компания Мастерфайбр;4
ул.строителей. 43;ООО Компания Мастерфайбр;4
ООО Лифтмонтажсервис;ДОГОВОРА;3
ООО ЛЮМУС;ДОГОВОРА;3
ООО МЕГАПОЛИС;ДОГОВОРА;3
ГЕО точки озерная;ООО МЕГАПОЛИС;4
исправления;ООО МЕГАПОЛИС;4
каскад допик;ООО МЕГАПОЛИС;4
строителей;ООО МЕГАПОЛИС;4
суздаль;ООО МЕГАПОЛИС;4
фирма флогиаль;ООО МЕГАПОЛИС;4
ООО МК Олимп;ДОГОВОРА;3
ООО НЕО-групп;ДОГОВОРА;3
1;ООО НЕО-групп;4
Фирма Флореаль;ООО НЕО-групп;4
ООО Окна в жизнь;ДОГОВОРА;3
00000;ООО Окна в жизнь;4
ООО Окна Германии;ДОГОВОРА;3
ООО ПМК-178;ДОГОВОРА;3
допник от 20.02.2025 Еловая;ООО ПМК-178;4
ООО Полимер-аква;ДОГОВОРА;3
ООО примьер строй;ДОГОВОРА;3
ООО Промстрой;ДОГОВОРА;3
ООО РУСЛИФТ;ДОГОВОРА;3
ООО САНТЕЗ;ДОГОВОРА;3
ООО СВЯЗЬ;ДОГОВОРА;3
2;ООО СВЯЗЬ;4
еловая;ООО СВЯЗЬ;4
2;еловая;5
каскад;ООО СВЯЗЬ;4
1;каскад;5
строит;ООО СВЯЗЬ;4
2;строит;5
ул.Озерная;ООО СВЯЗЬ;4
ООО СЕРВИС;ДОГОВОРА;3
49а;ООО СЕРВИС;4
Основа;ООО СЕРВИС;4
ООО СК Аристократ;ДОГОВОРА;3
ООО Спецстрой;ДОГОВОРА;3
ООО СПК Николь;ДОГОВОРА;3
Аурум;ООО СПК Николь;4
1;Аурум;5
спк николь Строителей;ООО СПК Николь;4
Фасад Каскад;ООО СПК Николь;4
1;Фасад Каскад;5
ООО ССМУ ГРУПП;ДОГОВОРА;3
ООО Строительные машины;ДОГОВОРА;3
1 дом;ООО Строительные машины;4
2 дом;ООО Строительные машины;4
920 дом;ООО Строительные машины;4
ООО Строй Арт;ДОГОВОРА;3
двери нежилое;ООО Строй Арт;4
ООО Стройконтроль;ДОГОВОРА;3
Еловая м;ООО Стройконтроль;4
Строитлей 39.3;ООО Стройконтроль;4
ООО СТРОЙТРЕНД 33;ДОГОВОРА;3
1;ООО СТРОЙТРЕНД 33;4
ООО Суздальремстрой;ДОГОВОРА;3
ООО ТандемСтрой;ДОГОВОРА;3
ООО Теплодар;ДОГОВОРА;3
Аурум;ООО Теплодар;4
строителей;ООО Теплодар;4
ООО УК  ВЫСОТА;ДОГОВОРА;3
ООО ФЬЁРДСТРОЙ;ДОГОВОРА;3
ООО ЧОО ВИСТА;ДОГОВОРА;3
Еловая;ООО ЧОО ВИСТА;4
перенос шлакбаума;Еловая;5
Строителей;ООО ЧОО ВИСТА;4
ООО ЧОП Рысь;ДОГОВОРА;3
ООО Шев-Монтаж Иваново;ДОГОВОРА;3
1;ООО Шев-Монтаж Иваново;4
ООО ЭКОТЕХ;ДОГОВОРА;3
1 допик;ООО ЭКОТЕХ;4
Договор;ООО ЭКОТЕХ;4
ООО Энки-Строй;ДОГОВОРА;3
49а детская площадка;ООО Энки-Строй;4
еловая;ООО Энки-Строй;4
каскад;ООО Энки-Строй;4
МАФ;каскад;5
Новая папка;ООО Энки-Строй;4
озерная;ООО Энки-Строй;4
5 допник;озерная;5
6 допник;озерная;5
7;озерная;5
кладка;озерная;5
озерная дорожные плиты+ точки;ООО Энки-Строй;4
озерная косоуры;ООО Энки-Строй;4
забор;озерная косоуры;5
озерная эл. работы;ООО Энки-Строй;4
основа;ООО Энки-Строй;4
строителей;ООО Энки-Строй;4
Новая папка;строителей;5
Суздальремстрой -2;ООО Энки-Строй;4
1 дом;Суздальремстрой -2;5
2 дом;Суздальремстрой -2;5
3 дом;Суздальремстрой -2;5
кладка выше 0,00;Суздальремстрой -2;5
кладка ниже 0,00;Суздальремстрой -2;5
Новая папка;Суздальремстрой -2;5
Новая папка (2);Суздальремстрой -2;5
Флориаль;ООО Энки-Строй;4
ООО Эталон-Строй;ДОГОВОРА;3
ООО Эталонстрой;ДОГОВОРА;3
Самозанятая Мизюкова;ДОГОВОРА;3
еловая;Самозанятая Мизюкова;4
ИП РДА 49б;Самозанятая Мизюкова;4
Строитеей;Самозанятая Мизюкова;4
Самозанятый Кисанов Н.В;ДОГОВОРА;3
каскад;Самозанятый Кисанов Н.В;4
ул.Еловая;Самозанятый Кисанов Н.В;4
ул.Строителей;Самозанятый Кисанов Н.В;4
загрузки;0 - Сметчики;2
карточки ИП;0 - Сметчики;2
КП;0 - Сметчики;2
отчет к планерке;0 - Сметчики;2
Протоколы с планерки;0 - Сметчики;2
отчеты от прорабов;Протоколы с планерки;3
сканы;0 - Сметчики;2
служебные записки;0 - Сметчики;2
СРАВНИТЕЛЬНЫЕ ТАБЛИЦЫ;0 - Сметчики;2
счета;0 - Сметчики;2
газпром;счета;3
ларионов;счета;3
Новая папка;счета;3
таблички подрядчиков;0 - Сметчики;2
